"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity initial test","Get users fail","FAILURE","2020-06-04T21:56:04.617-05:00[America/Bogota]","0.0","1.88"
"Serenity initial test","Get users","SUCCESS","2020-06-04T21:56:06.51-05:00[America/Bogota]","0.0","0.32"
